iter	RMSE
0	3595.736197
1	3486.551288
2	3375.837244
3	3272.734964
4	3177.881519
5	3083.164739
6	2995.856835
7	2912.449601
8	2830.386642
9	2751.986835
10	2681.115181
11	2610.438416
12	2544.990455
13	2481.877543
14	2419.87588
15	2365.587707
16	2309.747377
17	2258.55615
18	2208.595245
19	2160.804456
20	2120.464849
21	2077.687382
22	2038.111969
23	1998.687792
24	1963.44654
25	1928.150163
26	1896.426704
27	1868.570604
28	1843.674508
29	1817.914284
30	1791.750107
31	1767.893367
32	1745.777277
33	1727.644998
34	1707.206825
35	1688.616047
36	1670.702738
37	1653.610387
38	1637.784776
39	1622.475714
40	1608.601375
41	1595.242459
42	1582.912802
43	1571.271105
44	1564.261154
45	1554.410013
46	1544.665828
47	1536.406531
48	1526.509169
49	1518.673961
50	1511.192623
51	1503.894563
52	1497.416426
53	1491.127721
54	1485.108511
55	1478.492983
56	1471.891949
57	1466.61393
58	1461.437657
59	1457.502906
60	1453.928815
61	1450.273779
62	1445.910788
63	1442.024398
64	1437.927957
65	1434.543071
66	1432.026166
67	1428.866892
68	1424.723202
69	1421.783393
70	1420.144197
71	1417.271572
72	1414.709059
73	1411.832092
74	1409.529523
75	1407.110064
76	1405.043296
77	1403.755897
78	1401.367604
79	1399.499985
80	1397.709302
81	1395.525031
82	1393.996824
83	1392.340774
84	1390.907875
85	1389.512318
86	1388.920426
87	1387.937992
88	1386.504996
89	1384.605209
90	1382.641976
91	1381.583003
92	1379.195413
93	1378.011861
94	1376.521818
95	1375.748635
96	1375.045518
97	1374.200077
98	1373.347672
99	1371.651936
100	1370.72938
101	1369.622051
102	1368.799196
103	1367.347069
104	1366.550412
105	1365.671689
106	1364.957937
107	1364.407754
108	1363.854746
109	1363.246607
110	1361.696522
111	1360.651738
112	1359.785791
113	1358.903091
114	1358.438539
115	1358.02087
116	1357.404994
117	1356.921412
118	1356.449681
119	1354.551933
120	1353.69003
121	1352.59268
122	1351.63591
123	1350.938555
124	1350.348337
125	1350.120205
126	1349.695748
127	1349.066741
128	1348.424989
129	1347.565961
130	1347.19638
131	1345.823955
132	1345.346745
133	1345.134926
134	1344.267602
135	1343.759392
136	1343.31734
137	1342.745773
138	1341.432311
139	1341.127586
140	1340.625767
141	1339.517219
142	1339.315704
143	1338.126298
144	1337.639439
145	1337.337467
146	1336.98691
147	1336.067229
148	1335.398273
149	1334.805336
150	1334.493481
151	1333.945597
152	1333.467811
153	1333.068257
154	1332.26435
155	1331.440358
156	1330.488641
157	1330.034453
158	1329.310976
159	1328.973104
160	1328.520953
161	1327.724297
162	1327.071847
163	1326.536086
164	1326.229446
165	1325.399029
166	1325.080595
167	1324.582879
168	1323.737151
169	1323.002911
170	1321.753121
171	1320.982312
172	1319.716015
173	1318.402502
174	1317.314682
175	1316.167986
176	1315.609337
177	1314.859355
178	1314.018061
179	1313.610538
180	1312.879428
181	1312.527346
182	1312.124393
183	1311.789395
184	1311.232224
185	1310.378995
186	1309.71529
187	1309.29907
188	1308.725202
189	1308.509702
190	1307.7228
191	1307.419497
192	1306.981916
193	1305.583531
194	1305.49392
195	1305.18092
196	1304.38631
197	1304.207651
198	1304.055695
199	1303.673982
200	1303.404541
201	1302.920716
202	1302.844149
203	1302.077987
204	1301.37541
